experience_idx,acc_taw
0,0.8230
0,0.8230
0,0.8230
1,0.8030
1,0.8030
1,0.8030
2,0.8407
2,0.8407
2,0.8407
3,0.8425
3,0.8425
3,0.8425
4,0.8376
4,0.8376
4,0.8376
5,0.8423
5,0.8423
5,0.8423
6,0.8370
6,0.8370
6,0.8370
7,0.8397
7,0.8397
7,0.8397
8,0.8366
8,0.8366
8,0.8366
9,0.8367
9,0.8367
9,0.8367
