experience_idx,distillation,epoch,acc_train,acc_test
0,False,0,0.1306,0.1670
0,False,2,0.4436,0.4720
0,False,4,0.4990,0.5260
0,False,6,0.5624,0.6090
0,False,8,0.5778,0.5780
0,False,10,0.6122,0.6060
0,False,12,0.6608,0.6730
0,False,14,0.7504,0.6910
0,False,16,0.7532,0.7220
0,False,18,0.6586,0.6580
0,False,20,0.6946,0.6440
0,False,22,0.8048,0.7270
0,False,24,0.7296,0.6670
0,False,26,0.8022,0.7470
0,False,28,0.8160,0.7490
0,False,30,0.7860,0.7390
0,False,32,0.8104,0.7560
0,False,34,0.8358,0.7710
0,False,36,0.9300,0.8040
0,False,38,0.9206,0.8090
0,False,40,0.9452,0.8190
0,False,42,0.9256,0.8040
0,False,44,0.9316,0.7840
0,False,46,0.9076,0.7900
0,False,48,0.9076,0.7730
0,False,49,0.9396,0.8080
0,True,0,0.2286,0.2270
0,True,2,0.3756,0.3840
0,True,4,0.4888,0.4930
0,True,6,0.5522,0.5900
0,True,8,0.4152,0.4520
0,True,10,0.5240,0.5830
0,True,12,0.6540,0.6670
0,True,14,0.5798,0.5940
0,True,16,0.7008,0.7140
0,True,18,0.7180,0.7220
0,True,20,0.6618,0.6550
0,True,22,0.7074,0.6920
0,True,24,0.6994,0.6810
0,True,26,0.7496,0.7410
0,True,28,0.7570,0.7310
0,True,30,0.7452,0.7370
0,True,32,0.7678,0.7350
0,True,34,0.8022,0.7690
0,True,36,0.7494,0.7210
0,True,38,0.7812,0.7480
0,True,40,0.8184,0.7820
0,True,42,0.8694,0.8140
0,True,44,0.8718,0.8070
0,True,46,0.8870,0.8240
0,True,48,0.8910,0.8190
0,True,50,0.8842,0.8120
0,True,52,0.8972,0.8220
0,True,54,0.8878,0.8190
0,True,56,0.8980,0.8170
0,True,58,0.8924,0.8260
0,True,59,0.8988,0.8230
1,False,0,0.1712,0.1650
1,False,2,0.4206,0.4150
1,False,4,0.4470,0.4560
1,False,6,0.4768,0.4630
1,False,8,0.5270,0.5150
1,False,10,0.5916,0.5730
1,False,12,0.5912,0.6060
1,False,14,0.6732,0.6110
1,False,16,0.6384,0.6210
1,False,18,0.6874,0.6640
1,False,20,0.6722,0.6220
1,False,22,0.6934,0.6190
1,False,24,0.7054,0.6250
1,False,26,0.7208,0.6390
1,False,28,0.6920,0.6290
1,False,30,0.8104,0.7110
1,False,32,0.8192,0.7170
1,False,34,0.8024,0.7230
1,False,36,0.7568,0.6780
1,False,38,0.8932,0.7680
1,False,40,0.8822,0.7400
1,False,42,0.9010,0.7370
1,False,44,0.9040,0.7430
1,False,46,0.8942,0.7380
1,False,48,0.8940,0.7410
1,False,49,0.9186,0.7740
1,True,0,0.4332,0.4210
1,True,2,0.5914,0.6060
1,True,4,0.4752,0.4350
1,True,6,0.5390,0.5060
1,True,8,0.6922,0.6910
1,True,10,0.6988,0.6620
1,True,12,0.6632,0.6360
1,True,14,0.6810,0.6200
1,True,16,0.7148,0.6500
1,True,18,0.7250,0.6860
1,True,20,0.7786,0.6830
1,True,22,0.7890,0.7150
1,True,24,0.6986,0.6240
1,True,26,0.7262,0.6590
1,True,28,0.7952,0.6930
1,True,30,0.7978,0.7120
1,True,32,0.7476,0.6510
1,True,34,0.7096,0.6340
1,True,36,0.8356,0.7480
1,True,38,0.8304,0.7450
1,True,40,0.8006,0.7360
1,True,42,0.8798,0.7720
1,True,44,0.8854,0.7740
1,True,46,0.9032,0.7740
1,True,48,0.9068,0.7830
1,True,50,0.9100,0.7890
1,True,52,0.9022,0.7640
1,True,54,0.9136,0.7770
1,True,56,0.9182,0.7880
1,True,58,0.9088,0.7830
1,True,59,0.9184,0.7830
2,False,0,0.1852,0.2030
2,False,2,0.5136,0.5270
2,False,4,0.5424,0.5620
2,False,6,0.6534,0.6690
2,False,8,0.6616,0.6990
2,False,10,0.7234,0.7330
2,False,12,0.7626,0.7430
2,False,14,0.7950,0.7500
2,False,16,0.7412,0.7330
2,False,18,0.7976,0.7840
2,False,20,0.8112,0.7920
2,False,22,0.7812,0.7450
2,False,24,0.8330,0.7890
2,False,26,0.8512,0.8040
2,False,28,0.8110,0.7650
2,False,30,0.8820,0.8300
2,False,32,0.8690,0.8180
2,False,34,0.8408,0.7630
2,False,36,0.9364,0.8600
2,False,38,0.9544,0.8570
2,False,40,0.9596,0.8640
2,False,42,0.9662,0.8700
2,False,44,0.9664,0.8710
2,False,46,0.9546,0.8360
2,False,48,0.9512,0.8720
2,False,49,0.9392,0.8260
2,True,0,0.3384,0.3490
2,True,2,0.7778,0.7810
2,True,4,0.7822,0.7770
2,True,6,0.8448,0.8210
2,True,8,0.7882,0.7840
2,True,10,0.8744,0.8450
2,True,12,0.8620,0.8120
