experience_idx,acc
0,0.8230
0,0.8230
0,0.8230
1,0.6315
1,0.6330
1,0.6320
2,0.5877
2,0.5840
2,0.5807
3,0.5418
3,0.5425
3,0.5415
4,0.5198
4,0.5190
4,0.5190
5,0.4893
5,0.4898
5,0.4917
6,0.4610
6,0.4631
6,0.4646
7,0.4394
7,0.4395
7,0.4406
8,0.4202
8,0.4218
8,0.4219
9,0.4082
9,0.4099
9,0.4103
