experience_idx,acc
0,0.7830
0,0.7830
0,0.7830
1,0.6810
1,0.6805
1,0.6825
2,0.6310
2,0.6277
2,0.6277
3,0.5813
3,0.5807
3,0.5813
4,0.5504
4,0.5522
4,0.5548
5,0.4952
5,0.4985
5,0.5003
6,0.4569
6,0.4616
6,0.4630
7,0.4386
7,0.4436
7,0.4459
8,0.4160
8,0.4210
8,0.4232
9,0.4043
9,0.4096
9,0.4125
