experience_idx,distillation,epoch,acc_train,acc_test
0,False,0,0.1378,0.1480
0,False,2,0.4532,0.4800
0,False,4,0.4720,0.4710
0,False,6,0.4930,0.4800
0,False,8,0.5846,0.6010
0,False,10,0.5940,0.5750
0,False,12,0.6520,0.6500
0,False,14,0.6980,0.6900
0,False,16,0.6880,0.6690
0,False,18,0.7006,0.6620
0,False,20,0.7232,0.6890
0,False,22,0.7178,0.6680
0,False,24,0.7494,0.7070
0,False,26,0.7020,0.6610
0,False,28,0.7896,0.7430
0,False,30,0.7246,0.6800
0,False,32,0.7150,0.6720
0,False,34,0.7884,0.7280
0,False,36,0.8454,0.7590
0,False,38,0.8878,0.7940
0,False,40,0.8758,0.7700
0,False,42,0.8958,0.7630
0,False,44,0.8768,0.7500
0,False,46,0.8914,0.7490
0,False,48,0.8790,0.7420
0,False,49,0.8820,0.7480
0,True,0,0.1782,0.2130
0,True,2,0.2806,0.3070
0,True,4,0.4390,0.4340
0,True,6,0.4728,0.5150
0,True,8,0.4800,0.5120
0,True,10,0.5692,0.5790
0,True,12,0.4592,0.4920
0,True,14,0.6162,0.6360
0,True,16,0.6406,0.6300
0,True,18,0.6442,0.6660
0,True,20,0.6492,0.6640
0,True,22,0.6390,0.6460
0,True,24,0.7118,0.7040
0,True,26,0.6696,0.6710
0,True,28,0.7070,0.6990
0,True,30,0.7010,0.6940
0,True,32,0.7214,0.7120
0,True,34,0.6708,0.6760
0,True,36,0.7480,0.7320
0,True,38,0.6622,0.6430
0,True,40,0.7052,0.6840
0,True,42,0.8284,0.7750
0,True,44,0.8438,0.7850
0,True,46,0.8424,0.7800
0,True,48,0.8508,0.7920
0,True,50,0.8612,0.7930
0,True,52,0.8610,0.7890
0,True,54,0.8584,0.7720
0,True,56,0.8710,0.7850
0,True,58,0.8642,0.7810
0,True,59,0.8616,0.7830
1,False,0,0.3552,0.3580
1,False,2,0.4384,0.4520
1,False,4,0.5698,0.5540
1,False,6,0.6116,0.5840
1,False,8,0.6132,0.5980
1,False,10,0.6766,0.6700
1,False,12,0.6880,0.6550
1,False,14,0.7004,0.6670
1,False,16,0.6750,0.6490
1,False,18,0.7700,0.7190
1,False,20,0.7450,0.6960
1,False,22,0.7822,0.6970
1,False,24,0.7876,0.7110
1,False,26,0.7498,0.6940
1,False,28,0.8356,0.7740
1,False,30,0.8132,0.7450
1,False,32,0.7930,0.7170
1,False,34,0.7392,0.6760
1,False,36,0.9058,0.7890
1,False,38,0.9112,0.7990
1,False,40,0.9284,0.8050
1,False,42,0.9224,0.7960
1,False,44,0.8894,0.7580
1,False,46,0.8998,0.7620
1,False,48,0.8918,0.7390
1,False,49,0.9448,0.8090
1,True,0,0.3582,0.3320
1,True,2,0.6452,0.6410
1,True,4,0.6940,0.6840
1,True,6,0.7236,0.6940
1,True,8,0.7436,0.7090
1,True,10,0.7186,0.6910
1,True,12,0.7260,0.7020
1,True,14,0.7180,0.6500
1,True,16,0.8202,0.7660
1,True,18,0.7746,0.7180
1,True,20,0.7732,0.7140
1,True,22,0.8392,0.7860
1,True,24,0.7972,0.7160
1,True,26,0.7836,0.7130
1,True,28,0.8256,0.7500
1,True,30,0.8148,0.7410
1,True,32,0.7988,0.7380
1,True,34,0.8680,0.7910
1,True,36,0.8454,0.7590
1,True,38,0.8608,0.7900
1,True,40,0.8676,0.7880
1,True,42,0.9120,0.8120
1,True,44,0.9200,0.8170
1,True,46,0.9212,0.8240
1,True,48,0.9284,0.8230
1,True,50,0.9314,0.8090
1,True,52,0.9296,0.8180
1,True,54,0.9338,0.8140
1,True,56,0.9346,0.8220
1,True,58,0.9342,0.8160
1,True,59,0.9374,0.8110
2,False,0,0.1074,0.1120
2,False,2,0.4304,0.4320
2,False,4,0.4950,0.5490
2,False,6,0.4480,0.5020
2,False,8,0.5984,0.6450
2,False,10,0.6014,0.6430
2,False,12,0.6540,0.6840
2,False,14,0.6902,0.6710
2,False,16,0.7274,0.7180
2,False,18,0.7536,0.7200
2,False,20,0.7254,0.7100
2,False,22,0.7898,0.7500
2,False,24,0.8258,0.7840
2,False,26,0.7772,0.7390
2,False,28,0.7984,0.7210
2,False,30,0.8076,0.7220
2,False,32,0.8228,0.7680
2,False,34,0.8524,0.7760
2,False,36,0.9158,0.8290
2,False,38,0.9072,0.7970
2,False,40,0.8942,0.7810
2,False,42,0.8818,0.7910
2,False,44,0.9136,0.7950
2,False,46,0.8864,0.7740
2,False,48,0.9470,0.8370
2,False,49,0.9294,0.8050
2,True,0,0.5054,0.5070
2,True,2,0.6848,0.6650
2,True,4,0.6616,0.6410
2,True,6,0.7406,0.7040
2,True,8,0.7684,0.7570
2,True,10,0.7966,0.7370
2,True,12,0.8196,0.7920
2,True,14,0.8340,0.8030
2,True,16,0.8344,0.7890
2,True,18,0.8394,0.8010
2,True,20,0.8046,0.7500
2,True,22,0.8418,0.7880
2,True,24,0.8532,0.8090
2,True,26,0.8536,0.8020
2,True,28,0.8194,0.7600
2,True,30,0.8540,0.7800
2,True,32,0.8474,0.7890
2,True,34,0.8696,0.7920
2,True,36,0.8446,0.7760
2,True,38,0.8420,0.7810
2,True,40,0.8842,0.8330
2,True,42,0.9288,0.8610
2,True,44,0.9328,0.8530
2,True,46,0.9384,0.8650
2,True,48,0.9392,0.8560
2,True,50,0.9428,0.8610
2,True,52,0.9474,0.8650
2,True,54,0.9498,0.8580
2,True,56,0.9482,0.8660
2,True,58,0.9474,0.8510
2,True,59,0.9488,0.8610
3,False,0,0.1732,0.2000
3,False,2,0.4672,0.4680
3,False,4,0.5348,0.5230
3,False,6,0.5898,0.5760
3,False,8,0.6330,0.6480
3,False,10,0.6746,0.6620
3,False,12,0.6422,0.6270
3,False,14,0.6946,0.6550
3,False,16,0.7124,0.6660
3,False,18,0.6586,0.6220
3,False,20,0.8070,0.7470
3,False,22,0.8134,0.7500
3,False,24,0.8256,0.7650
3,False,26,0.7896,0.7270
3,False,28,0.8260,0.7480
3,False,30,0.7804,0.6840
3,False,32,0.8370,0.7630
3,False,34,0.8276,0.7440
3,False,36,0.9298,0.8250
3,False,38,0.9410,0.8200
3,False,40,0.8896,0.7700
3,False,42,0.9336,0.8060
3,False,44,0.9372,0.8110
3,False,46,0.9302,0.8130
3,False,48,0.9416,0.7990
3,False,49,0.9468,0.8170
3,True,0,0.5810,0.5800
3,True,2,0.6736,0.6590
3,True,4,0.7500,0.7340
3,True,6,0.7344,0.7110
3,True,8,0.7700,0.7340
3,True,10,0.8164,0.7760
3,True,12,0.8084,0.7730
3,True,14,0.7854,0.7220
3,True,16,0.8442,0.7830
3,True,18,0.7916,0.7200
3,True,20,0.8484,0.7860
3,True,22,0.8588,0.8050
3,True,24,0.8746,0.7890
3,True,26,0.8448,0.7820
3,True,28,0.8434,0.7940
