experience_idx,distillation,epoch,acc_train,acc_test
0,False,0,0.2260,0.2510
0,False,2,0.4288,0.4090
0,False,4,0.4452,0.4530
0,False,6,0.4942,0.4950
0,False,8,0.5136,0.5250
0,False,10,0.5600,0.5170
0,False,12,0.6058,0.6000
0,False,14,0.6172,0.5750
0,False,16,0.6870,0.6380
0,False,18,0.6804,0.6320
0,False,20,0.6204,0.6040
0,False,22,0.7450,0.6820
0,False,24,0.7270,0.6670
0,False,26,0.7468,0.6740
0,False,28,0.7652,0.7080
0,False,30,0.8084,0.7120
0,False,32,0.7378,0.6650
0,False,34,0.8154,0.7330
0,False,36,0.9036,0.7800
0,False,38,0.9094,0.7700
0,False,40,0.9186,0.7910
0,False,42,0.9276,0.7930
0,False,44,0.9296,0.7950
0,False,46,0.9316,0.7970
0,False,48,0.9228,0.7730
0,False,49,0.9276,0.7820
0,True,0,0.1302,0.1390
0,True,2,0.3708,0.3780
0,True,4,0.3790,0.3820
0,True,6,0.3736,0.3760
0,True,8,0.4772,0.5020
0,True,10,0.4886,0.4950
0,True,12,0.5506,0.5440
0,True,14,0.5436,0.5340
0,True,16,0.5586,0.5340
0,True,18,0.5908,0.5520
0,True,20,0.5620,0.5540
0,True,22,0.6614,0.6480
0,True,24,0.6360,0.6140
0,True,26,0.6446,0.6090
0,True,28,0.7006,0.6260
0,True,30,0.6918,0.6480
0,True,32,0.7314,0.6690
0,True,34,0.7320,0.6640
0,True,36,0.6930,0.6590
0,True,38,0.7544,0.6910
0,True,40,0.7836,0.7420
0,True,42,0.8394,0.7700
0,True,44,0.8470,0.7720
0,True,46,0.8548,0.7680
0,True,48,0.8600,0.7810
0,True,50,0.8648,0.7730
0,True,52,0.8680,0.7770
0,True,54,0.8634,0.7650
0,True,56,0.8690,0.7680
0,True,58,0.8784,0.7830
0,True,59,0.8776,0.7750
1,False,0,0.2294,0.2330
1,False,2,0.4002,0.3980
1,False,4,0.5164,0.5150
1,False,6,0.5112,0.5150
1,False,8,0.5742,0.5930
1,False,10,0.5838,0.5460
1,False,12,0.5186,0.5030
1,False,14,0.6180,0.6250
1,False,16,0.6316,0.5970
1,False,18,0.7050,0.6660
