experience_idx,distillation,epoch,ce,distill
0,False,0,2.0395,0.0000
0,False,2,1.7719,0.0000
0,False,4,1.4134,0.0000
0,False,6,1.3382,0.0000
0,False,8,1.4560,0.0000
0,False,10,1.1580,0.0000
0,False,12,1.1701,0.0000
0,False,14,1.1278,0.0000
0,False,16,0.8580,0.0000
0,False,18,0.7713,0.0000
0,False,20,0.7205,0.0000
0,False,22,0.6903,0.0000
0,False,24,0.7005,0.0000
0,False,26,0.5713,0.0000
0,False,28,0.6157,0.0000
0,False,30,0.4634,0.0000
0,False,32,0.5127,0.0000
0,False,34,0.3347,0.0000
0,False,36,0.3293,0.0000
0,False,38,0.1887,0.0000
0,False,40,0.2427,0.0000
0,False,42,0.2139,0.0000
0,False,44,0.2375,0.0000
0,False,46,0.1724,0.0000
0,False,48,0.1522,0.0000
0,False,49,0.1624,0.0000
0,True,0,2.7037,23.4829
0,True,2,1.9010,17.1304
0,True,4,1.9699,17.8512
0,True,6,1.6787,14.7865
0,True,8,1.5839,12.6987
0,True,10,1.6517,12.6135
0,True,12,1.4467,13.0015
0,True,14,1.5493,11.3456
0,True,16,1.2253,10.0457
0,True,18,1.1552,7.5431
0,True,20,1.2238,8.0614
0,True,22,1.0926,7.8133
0,True,24,1.0141,6.6672
0,True,26,0.8237,5.7532
0,True,28,1.1709,6.2422
0,True,30,0.7493,4.5851
0,True,32,0.8418,5.0577
0,True,34,0.8542,5.1283
0,True,36,0.6794,4.8725
0,True,38,0.6670,4.2805
0,True,40,0.8626,0.0000
0,True,42,0.8661,0.0000
0,True,44,0.7751,0.0000
0,True,46,0.8520,0.0000
0,True,48,0.6156,0.0000
0,True,50,0.7264,0.0000
0,True,52,0.6761,0.0000
0,True,54,0.7988,0.0000
0,True,56,0.6890,0.0000
0,True,58,0.4970,0.0000
0,True,59,0.5572,0.0000
1,False,0,1.8835,0.0000
1,False,2,1.4538,0.0000
1,False,4,1.5954,0.0000
1,False,6,1.1912,0.0000
1,False,8,1.1861,0.0000
1,False,10,0.9538,0.0000
1,False,12,1.1853,0.0000
1,False,14,0.7981,0.0000
1,False,16,0.7516,0.0000
1,False,18,0.8567,0.0000
1,False,20,0.8041,0.0000
1,False,22,0.7015,0.0000
1,False,24,0.6628,0.0000
1,False,26,0.7302,0.0000
1,False,28,0.5722,0.0000
1,False,30,0.4224,0.0000
1,False,32,0.3883,0.0000
1,False,34,0.4819,0.0000
1,False,36,0.2872,0.0000
1,False,38,0.3248,0.0000
1,False,40,0.2137,0.0000
1,False,42,0.3253,0.0000
1,False,44,0.2780,0.0000
1,False,46,0.2689,0.0000
1,False,48,0.1944,0.0000
1,False,49,0.3319,0.0000
1,True,0,1.6711,11.1502
1,True,2,1.1386,6.8553
1,True,4,1.0386,4.7660
1,True,6,0.9685,5.0987
1,True,8,0.7723,4.0340
1,True,10,0.9047,4.5352
1,True,12,0.8377,4.5555
1,True,14,0.7409,3.4927
1,True,16,0.5489,3.2995
1,True,18,0.6305,3.0966
1,True,20,0.6256,3.6363
1,True,22,0.5648,2.3535
1,True,24,0.7183,3.2660
1,True,26,0.6413,2.6006
1,True,28,0.5534,2.9369
1,True,30,0.4053,2.2408
1,True,32,0.4397,2.3444
1,True,34,0.4434,2.2367
1,True,36,0.6067,1.9805
1,True,38,0.6822,2.7184
1,True,40,0.7877,0.0000
1,True,42,0.5915,0.0000
1,True,44,0.8036,0.0000
1,True,46,0.6429,0.0000
1,True,48,0.5613,0.0000
1,True,50,0.4637,0.0000
1,True,52,0.4345,0.0000
1,True,54,0.5967,0.0000
1,True,56,0.4209,0.0000
1,True,58,0.3657,0.0000
1,True,59,0.6069,0.0000
2,False,0,1.9356,0.0000
2,False,2,1.3281,0.0000
2,False,4,1.0630,0.0000
2,False,6,1.1814,0.0000
2,False,8,0.9151,0.0000
2,False,10,0.7647,0.0000
2,False,12,0.7728,0.0000
2,False,14,0.7200,0.0000
2,False,16,0.8008,0.0000
2,False,18,0.8152,0.0000
2,False,20,0.5182,0.0000
2,False,22,0.4365,0.0000
2,False,24,0.3206,0.0000
2,False,26,0.2901,0.0000
2,False,28,0.3384,0.0000
2,False,30,0.3955,0.0000
2,False,32,0.4358,0.0000
2,False,34,0.2309,0.0000
2,False,36,0.1570,0.0000
2,False,38,0.2035,0.0000
2,False,40,0.1192,0.0000
2,False,42,0.1518,0.0000
2,False,44,0.1342,0.0000
2,False,46,0.0762,0.0000
2,False,48,0.1541,0.0000
2,False,49,0.1874,0.0000
2,True,0,1.2241,10.9281
2,True,2,0.9415,6.3603
2,True,4,0.5210,3.7931
2,True,6,0.5665,3.5057
2,True,8,0.6804,4.1072
2,True,10,0.3919,2.8818
2,True,12,0.5503,3.8114
2,True,14,0.3204,2.5552
2,True,16,0.3530,2.5271
2,True,18,0.4445,3.1811
2,True,20,0.3124,2.0384
2,True,22,0.3981,2.3942
2,True,24,0.3823,2.7972
2,True,26,0.3852,2.5084
2,True,28,0.2872,1.9987
2,True,30,0.1930,1.6138
2,True,32,0.3329,1.9848
2,True,34,0.2474,1.8005
2,True,36,0.2271,1.8607
2,True,38,0.1092,1.1279
2,True,40,0.4574,0.0000
2,True,42,0.3546,0.0000
2,True,44,0.3875,0.0000
2,True,46,0.2772,0.0000
