experience_idx,distillation,epoch,acc_train,acc_test
3,False,4,0.5156,0.5120
3,False,6,0.5822,0.5580
3,False,8,0.5398,0.5370
3,False,10,0.6462,0.6360
3,False,12,0.6460,0.6420
3,False,14,0.6666,0.6310
3,False,16,0.7260,0.6800
3,False,18,0.7614,0.7240
3,False,20,0.6564,0.6060
3,False,22,0.6202,0.5860
3,False,24,0.7158,0.6730
3,False,26,0.7706,0.6940
3,False,28,0.8048,0.7430
3,False,30,0.8324,0.7630
3,False,32,0.6948,0.6600
3,False,34,0.6816,0.6290
3,False,36,0.9218,0.8100
3,False,38,0.9226,0.8010
3,False,40,0.9078,0.7940
3,False,42,0.9368,0.8200
3,False,44,0.9300,0.7980
3,False,46,0.9290,0.8030
3,False,48,0.9394,0.7900
3,False,49,0.9322,0.7950
3,True,0,0.5636,0.5480
3,True,2,0.7322,0.6990
3,True,4,0.7788,0.7340
3,True,6,0.7348,0.7200
3,True,8,0.7770,0.7250
3,True,10,0.8118,0.7290
3,True,12,0.7930,0.7120
3,True,14,0.7818,0.7110
3,True,16,0.8268,0.7440
3,True,18,0.7694,0.6930
3,True,20,0.8132,0.7310
3,True,22,0.8244,0.7540
3,True,24,0.8778,0.7860
3,True,26,0.8746,0.7690
3,True,28,0.8672,0.7590
3,True,30,0.8626,0.7840
3,True,32,0.8294,0.7660
3,True,34,0.8856,0.7800
3,True,36,0.8616,0.7800
3,True,38,0.8496,0.7580
3,True,40,0.8620,0.7830
3,True,42,0.9318,0.8310
3,True,44,0.9418,0.8370
3,True,46,0.9392,0.8400
3,True,48,0.9458,0.8400
3,True,50,0.9500,0.8320
3,True,52,0.9482,0.8480
3,True,54,0.9484,0.8530
3,True,56,0.9578,0.8380
3,True,58,0.9578,0.8360
3,True,59,0.9518,0.8290
4,False,0,0.1294,0.1200
4,False,2,0.3802,0.3500
4,False,4,0.3932,0.4020
4,False,6,0.5206,0.5520
4,False,8,0.3440,0.3300
4,False,10,0.4600,0.4180
4,False,12,0.6278,0.6160
4,False,14,0.5970,0.5760
4,False,16,0.6824,0.6470
4,False,18,0.6152,0.5980
4,False,20,0.7248,0.6920
4,False,22,0.6916,0.6550
4,False,24,0.7272,0.6470
4,False,26,0.6214,0.5460
4,False,28,0.6978,0.6680
4,False,30,0.7042,0.6380
4,False,32,0.7618,0.6710
4,False,34,0.7150,0.6310
4,False,36,0.8434,0.7440
4,False,38,0.8582,0.7440
4,False,40,0.8574,0.7440
4,False,42,0.8618,0.7380
4,False,44,0.8856,0.7420
4,False,46,0.8518,0.7490
4,False,48,0.8372,0.7050
