experience_idx,distillation,epoch,ce,distill
0,False,0,1.7456,0.0000
0,False,2,1.3294,0.0000
0,False,4,1.2034,0.0000
0,False,6,0.8749,0.0000
0,False,8,0.8190,0.0000
0,False,10,0.5674,0.0000
0,False,12,0.5976,0.0000
0,False,14,0.6637,0.0000
0,False,16,0.5793,0.0000
0,False,18,0.8089,0.0000
0,False,20,0.4608,0.0000
0,False,22,0.3745,0.0000
0,False,24,0.3932,0.0000
0,False,26,0.3070,0.0000
0,False,28,0.4065,0.0000
0,False,30,0.2970,0.0000
0,False,32,0.3709,0.0000
0,False,34,0.3162,0.0000
0,False,36,0.1326,0.0000
0,False,38,0.1061,0.0000
0,False,40,0.1201,0.0000
0,False,42,0.1827,0.0000
0,False,44,0.1126,0.0000
0,False,46,0.1214,0.0000
0,False,48,0.1272,0.0000
0,False,49,0.0720,0.0000
0,True,0,1.9307,20.4991
0,True,2,1.5198,15.3922
0,True,4,1.0681,11.8751
0,True,6,1.3578,11.2027
0,True,8,1.3101,9.4519
0,True,10,0.8831,7.2858
0,True,12,0.8722,6.8912
0,True,14,0.7330,5.6948
0,True,16,0.6683,4.4882
0,True,18,0.7668,5.1972
0,True,20,0.4970,3.6630
0,True,22,0.5292,3.5758
0,True,24,0.6205,4.1550
0,True,26,0.5212,2.5013
0,True,28,0.5464,3.5335
0,True,30,0.5448,3.4963
0,True,32,0.6500,3.7892
0,True,34,0.4307,3.2061
0,True,36,0.3461,2.6177
0,True,38,0.4055,2.3603
0,True,40,0.4329,0.0000
0,True,42,0.6018,0.0000
0,True,44,0.5577,0.0000
0,True,46,0.3483,0.0000
0,True,48,0.4793,0.0000
0,True,50,0.4574,0.0000
0,True,52,0.3847,0.0000
0,True,54,0.3299,0.0000
0,True,56,0.3542,0.0000
0,True,58,0.3241,0.0000
0,True,59,0.3096,0.0000
1,False,0,1.8863,0.0000
1,False,2,1.2042,0.0000
1,False,4,0.9338,0.0000
1,False,6,1.0065,0.0000
1,False,8,0.9306,0.0000
1,False,10,0.7163,0.0000
1,False,12,0.8591,0.0000
1,False,14,0.7118,0.0000
1,False,16,0.5645,0.0000
1,False,18,0.6023,0.0000
1,False,20,0.4561,0.0000
1,False,22,0.5800,0.0000
1,False,24,0.3600,0.0000
1,False,26,0.3641,0.0000
1,False,28,0.5472,0.0000
1,False,30,0.3020,0.0000
1,False,32,0.3164,0.0000
1,False,34,0.3345,0.0000
1,False,36,0.2233,0.0000
1,False,38,0.1862,0.0000
1,False,40,0.2371,0.0000
1,False,42,0.0696,0.0000
1,False,44,0.0985,0.0000
1,False,46,0.1509,0.0000
1,False,48,0.1770,0.0000
1,False,49,0.0786,0.0000
1,True,0,1.1882,10.2907
1,True,2,0.6319,5.1029
1,True,4,0.7046,4.5505
1,True,6,0.4302,3.3647
1,True,8,0.4875,3.6438
1,True,10,0.4074,3.1428
1,True,12,0.4690,2.7877
1,True,14,0.2520,2.5781
1,True,16,0.3391,2.7511
1,True,18,0.5682,3.2250
1,True,20,0.3514,2.5635
1,True,22,0.5507,2.9318
1,True,24,0.4623,2.8034
1,True,26,0.2563,1.8688
1,True,28,0.2404,1.9291
1,True,30,0.3247,2.1549
1,True,32,0.4026,2.4830
1,True,34,0.3480,2.4527
1,True,36,0.2591,2.1488
1,True,38,0.3792,2.5676
1,True,40,0.4285,0.0000
1,True,42,0.4841,0.0000
1,True,44,0.3036,0.0000
1,True,46,0.3751,0.0000
1,True,48,0.2729,0.0000
1,True,50,0.3431,0.0000
1,True,52,0.3361,0.0000
1,True,54,0.3573,0.0000
1,True,56,0.2504,0.0000
1,True,58,0.2900,0.0000
1,True,59,0.1818,0.0000
2,False,0,1.7122,0.0000
2,False,2,1.5097,0.0000
2,False,4,1.2104,0.0000
2,False,6,1.1327,0.0000
2,False,8,1.1493,0.0000
2,False,10,0.9462,0.0000
2,False,12,0.8990,0.0000
2,False,14,0.8787,0.0000
2,False,16,0.7660,0.0000
2,False,18,0.7906,0.0000
2,False,20,0.5799,0.0000
2,False,22,0.5498,0.0000
2,False,24,0.5309,0.0000
2,False,26,0.4635,0.0000
2,False,28,0.3757,0.0000
2,False,30,0.4423,0.0000
2,False,32,0.5189,0.0000
2,False,34,0.4146,0.0000
2,False,36,0.2978,0.0000
2,False,38,0.2003,0.0000
2,False,40,0.2097,0.0000
2,False,42,0.2215,0.0000
2,False,44,0.3292,0.0000
2,False,46,0.1866,0.0000
2,False,48,0.1902,0.0000
2,False,49,0.1542,0.0000
2,True,0,1.3387,10.0875
2,True,2,0.8365,6.1553
2,True,4,0.6575,4.7359
2,True,6,0.6883,3.7766
2,True,8,0.6053,3.4952
2,True,10,0.6634,4.0487
2,True,12,0.6223,3.2190
2,True,14,0.5052,2.6497
2,True,16,0.4116,2.5718
2,True,18,0.3620,2.2877
2,True,20,0.4706,2.1709
2,True,22,0.7213,3.6878
2,True,24,0.4836,3.0589
2,True,26,0.4859,2.9182
2,True,28,0.3776,2.1761
2,True,30,0.5552,2.5154
2,True,32,0.3521,2.3618
2,True,34,0.3610,1.5902
2,True,36,0.4328,2.5231
2,True,38,0.4814,2.6532
2,True,40,0.4644,0.0000
2,True,42,0.4869,0.0000
2,True,44,0.4689,0.0000
2,True,46,0.5651,0.0000
2,True,48,0.5026,0.0000
2,True,50,0.3588,0.0000
2,True,52,0.3189,0.0000
2,True,54,0.2693,0.0000
2,True,56,0.2682,0.0000
2,True,58,0.3999,0.0000
2,True,59,0.4696,0.0000
3,False,0,2.0296,0.0000
3,False,2,1.6474,0.0000
3,False,4,1.4541,0.0000
3,False,6,1.2366,0.0000
3,False,8,0.9342,0.0000
3,False,10,1.1114,0.0000
3,False,12,1.0731,0.0000
3,False,14,0.8052,0.0000
3,False,16,0.8831,0.0000
3,False,18,0.6175,0.0000
3,False,20,0.6370,0.0000
3,False,22,0.4709,0.0000
3,False,24,0.6245,0.0000
3,False,26,0.5529,0.0000
3,False,28,0.3513,0.0000
3,False,30,0.3960,0.0000
3,False,32,0.4783,0.0000
3,False,34,0.2666,0.0000
3,False,36,0.3186,0.0000
3,False,38,0.1857,0.0000
3,False,40,0.1844,0.0000
3,False,42,0.1843,0.0000
3,False,44,0.2058,0.0000
3,False,46,0.0946,0.0000
3,False,48,0.1249,0.0000
3,False,49,0.1897,0.0000
3,True,0,1.2959,10.0575
3,True,2,0.6600,5.0632
3,True,4,0.5591,3.5702
3,True,6,0.7896,4.4873
3,True,8,0.4654,3.0356
3,True,10,0.5875,3.1120
3,True,12,0.6378,3.3903
3,True,14,0.5182,2.7022
3,True,16,0.6045,3.4686
3,True,18,0.4864,2.7260
3,True,20,0.4820,2.4132
