experience_idx,acc_taw
0,0.7380
0,0.7380
0,0.7380
1,0.8110
1,0.8110
1,0.8110
2,0.8053
2,0.8053
2,0.8053
3,0.8117
3,0.8117
3,0.8117
4,0.8106
4,0.8106
4,0.8106
5,0.8248
5,0.8248
5,0.8248
6,0.8180
6,0.8180
6,0.8180
7,0.8200
7,0.8200
7,0.8200
8,0.8260
8,0.8260
8,0.8260
9,0.8318
9,0.8318
9,0.8318
