experience_idx,distillation,epoch,acc_train,acc_test
0,False,0,0.1756,0.2010
0,False,2,0.4212,0.4610
0,False,4,0.4448,0.4550
0,False,6,0.5010,0.5200
0,False,8,0.5938,0.5810
0,False,10,0.5594,0.5460
0,False,12,0.6144,0.6220
0,False,14,0.5660,0.5670
0,False,16,0.6550,0.6420
0,False,18,0.6854,0.6380
0,False,20,0.7342,0.6790
0,False,22,0.6986,0.6580
0,False,24,0.7552,0.7010
0,False,26,0.7442,0.6850
0,False,28,0.7364,0.6920
0,False,30,0.7744,0.7190
0,False,32,0.7304,0.6440
0,False,34,0.7098,0.6340
0,False,36,0.8660,0.7530
0,False,38,0.8606,0.7560
0,False,40,0.8786,0.7530
0,False,42,0.8618,0.7400
0,False,44,0.8404,0.7480
0,False,46,0.8404,0.7050
0,False,48,0.8876,0.7660
0,False,49,0.8790,0.7590
0,True,0,0.1378,0.1350
0,True,2,0.3080,0.3370
0,True,4,0.3814,0.3850
0,True,6,0.4158,0.4170
0,True,8,0.3924,0.4290
0,True,10,0.5832,0.5680
0,True,12,0.5666,0.5800
0,True,14,0.6406,0.6310
0,True,16,0.5770,0.5880
0,True,18,0.6246,0.6070
0,True,20,0.5570,0.5480
0,True,22,0.6126,0.6000
0,True,24,0.6120,0.5990
0,True,26,0.6662,0.6590
0,True,28,0.7174,0.6710
0,True,30,0.7144,0.6710
0,True,32,0.6864,0.6390
0,True,34,0.7164,0.6780
0,True,36,0.7250,0.6660
0,True,38,0.7272,0.6670
0,True,40,0.7182,0.6610
0,True,42,0.8110,0.7320
0,True,44,0.8318,0.7550
0,True,46,0.8324,0.7480
0,True,48,0.8376,0.7580
0,True,50,0.8434,0.7560
0,True,52,0.8400,0.7580
0,True,54,0.8444,0.7530
0,True,56,0.8570,0.7550
0,True,58,0.8544,0.7600
0,True,59,0.8376,0.7380
1,False,0,0.2302,0.2360
1,False,2,0.5482,0.5780
1,False,4,0.5076,0.5760
1,False,6,0.6512,0.6750
1,False,8,0.6766,0.6780
1,False,10,0.7126,0.6970
1,False,12,0.7906,0.7550
1,False,14,0.7566,0.7400
1,False,16,0.7836,0.7280
1,False,18,0.7724,0.7430
1,False,20,0.8222,0.7830
1,False,22,0.8114,0.7630
1,False,24,0.7768,0.7450
1,False,26,0.7934,0.7760
1,False,28,0.8832,0.8420
1,False,30,0.7640,0.7320
1,False,32,0.7664,0.7360
1,False,34,0.8082,0.7870
1,False,36,0.9350,0.8650
1,False,38,0.9250,0.8380
1,False,40,0.9126,0.8230
1,False,42,0.9358,0.8530
1,False,44,0.9520,0.8530
1,False,46,0.9400,0.8600
1,False,48,0.8902,0.8190
1,False,49,0.9596,0.8560
1,True,0,0.5120,0.5200
1,True,2,0.6846,0.6940
1,True,4,0.7478,0.7270
1,True,6,0.7658,0.7340
1,True,8,0.7400,0.7040
1,True,10,0.5622,0.5400
1,True,12,0.8452,0.7920
1,True,14,0.8106,0.7850
1,True,16,0.8336,0.8130
1,True,18,0.8282,0.8100
1,True,20,0.8148,0.8060
1,True,22,0.7882,0.7680
1,True,24,0.8580,0.8190
1,True,26,0.8354,0.7860
1,True,28,0.8644,0.8160
1,True,30,0.8078,0.7530
1,True,32,0.8706,0.8090
1,True,34,0.7994,0.7720
1,True,36,0.8510,0.8300
1,True,38,0.8622,0.7980
1,True,40,0.8966,0.8560
1,True,42,0.9400,0.8790
1,True,44,0.9514,0.8840
1,True,46,0.9508,0.8790
1,True,48,0.9564,0.8790
1,True,50,0.9584,0.8890
1,True,52,0.9582,0.8930
1,True,54,0.9598,0.8860
1,True,56,0.9632,0.8890
1,True,58,0.9616,0.8860
1,True,59,0.9576,0.8840
2,False,0,0.1910,0.1710
2,False,2,0.4888,0.4800
2,False,4,0.4992,0.4630
2,False,6,0.5708,0.5700
2,False,8,0.5200,0.5240
2,False,10,0.5822,0.5410
2,False,12,0.5930,0.5500
2,False,14,0.6654,0.6180
2,False,16,0.7054,0.6620
2,False,18,0.6782,0.6160
2,False,20,0.7020,0.6470
2,False,22,0.7408,0.6800
2,False,24,0.7636,0.6870
2,False,26,0.7746,0.6990
2,False,28,0.7774,0.7160
2,False,30,0.8172,0.7370
2,False,32,0.7632,0.6760
2,False,34,0.7284,0.6230
2,False,36,0.8964,0.7850
