experience_idx,acc
0,0.7380
0,0.7380
0,0.7380
1,0.6640
1,0.6615
1,0.6600
2,0.5960
2,0.5963
2,0.5940
3,0.5390
3,0.5412
3,0.5400
4,0.4904
4,0.4938
4,0.4932
5,0.4657
5,0.4700
5,0.4693
6,0.4399
6,0.4434
6,0.4426
7,0.4329
7,0.4374
7,0.4367
8,0.4232
8,0.4283
8,0.4270
9,0.4116
9,0.4167
9,0.4152
