experience_idx,distillation,epoch,acc_train,acc_test
0,False,0,0.2280,0.2590
0,False,2,0.5822,0.5950
0,False,4,0.6322,0.6340
0,False,6,0.7126,0.6970
0,False,8,0.6526,0.6170
0,False,10,0.6988,0.7090
0,False,12,0.7056,0.7120
0,False,14,0.7656,0.7370
0,False,16,0.8012,0.7960
0,False,18,0.7630,0.7270
0,False,20,0.8082,0.7770
0,False,22,0.8214,0.7910
0,False,24,0.7464,0.7460
0,False,26,0.8272,0.8190
0,False,28,0.8534,0.8010
0,False,30,0.8152,0.7760
0,False,32,0.8356,0.8110
0,False,34,0.8612,0.8160
0,False,36,0.9554,0.9000
0,False,38,0.9400,0.8640
0,False,40,0.9626,0.8900
0,False,42,0.9698,0.8910
0,False,44,0.9254,0.8590
0,False,46,0.9590,0.8690
0,False,48,0.9282,0.8560
0,False,49,0.9628,0.8800
0,True,0,0.2310,0.2380
0,True,2,0.3742,0.4040
0,True,4,0.4464,0.4520
0,True,6,0.5458,0.5490
0,True,8,0.6020,0.5820
0,True,10,0.6592,0.6580
0,True,12,0.7338,0.7230
0,True,14,0.5952,0.5710
0,True,16,0.7326,0.7380
0,True,18,0.7932,0.7780
0,True,20,0.7436,0.7320
0,True,22,0.7758,0.7750
0,True,24,0.7632,0.7360
0,True,26,0.7826,0.7710
0,True,28,0.7480,0.7520
0,True,30,0.7630,0.7630
0,True,32,0.7146,0.7250
0,True,34,0.7614,0.7420
0,True,36,0.8074,0.7820
0,True,38,0.8036,0.7880
0,True,40,0.8736,0.8670
0,True,42,0.9046,0.8800
0,True,44,0.9174,0.8780
0,True,46,0.9246,0.8930
0,True,48,0.9262,0.8830
0,True,50,0.9298,0.8950
0,True,52,0.9298,0.8840
0,True,54,0.9342,0.8840
0,True,56,0.9314,0.8870
0,True,58,0.9280,0.8860
0,True,59,0.9324,0.8920
1,False,0,0.1412,0.1610
1,False,2,0.4372,0.5070
1,False,4,0.5482,0.5540
1,False,6,0.5350,0.5260
1,False,8,0.5846,0.5750
1,False,10,0.5636,0.5520
1,False,12,0.7014,0.6850
1,False,14,0.6572,0.6240
1,False,16,0.7112,0.6760
1,False,18,0.7078,0.6770
1,False,20,0.7266,0.6670
1,False,22,0.7028,0.6050
1,False,24,0.7936,0.7430
1,False,26,0.7168,0.6680
1,False,28,0.7782,0.7130
1,False,30,0.8364,0.7440
1,False,32,0.7354,0.6640
1,False,34,0.8488,0.7480
1,False,36,0.8854,0.7620
1,False,38,0.8722,0.7350
1,False,40,0.9148,0.8040
1,False,42,0.9198,0.7750
1,False,44,0.9212,0.7780
1,False,46,0.8998,0.7680
1,False,48,0.9308,0.7910
1,False,49,0.8982,0.7780
1,True,0,0.3388,0.3360
1,True,2,0.5900,0.5920
1,True,4,0.5514,0.5680
1,True,6,0.6674,0.6530
1,True,8,0.6882,0.6600
1,True,10,0.6944,0.6610
1,True,12,0.5810,0.5440
1,True,14,0.7136,0.6730
1,True,16,0.6896,0.6180
1,True,18,0.7302,0.7140
1,True,20,0.7088,0.6600
1,True,22,0.7710,0.7240
1,True,24,0.7956,0.7260
1,True,26,0.7566,0.6890
1,True,28,0.7772,0.7150
1,True,30,0.7320,0.6990
1,True,32,0.7610,0.6880
1,True,34,0.7892,0.7330
1,True,36,0.7570,0.6980
1,True,38,0.7972,0.7160
1,True,40,0.8382,0.7630
1,True,42,0.8812,0.7920
1,True,44,0.8912,0.7970
1,True,46,0.8912,0.8010
1,True,48,0.8956,0.8070
1,True,50,0.9008,0.8050
1,True,52,0.9034,0.8090
1,True,54,0.9068,0.8010
1,True,56,0.9032,0.7940
1,True,58,0.9136,0.7910
1,True,59,0.9116,0.8010
2,False,0,0.2860,0.3580
2,False,2,0.4448,0.4410
2,False,4,0.5158,0.5200
2,False,6,0.5606,0.5730
2,False,8,0.5670,0.5900
2,False,10,0.6994,0.6600
2,False,12,0.6546,0.6380
2,False,14,0.6998,0.6520
2,False,16,0.7438,0.6960
2,False,18,0.7138,0.6970
2,False,20,0.7332,0.6630
2,False,22,0.8144,0.7680
2,False,24,0.8212,0.7500
2,False,26,0.8236,0.7460
2,False,28,0.8174,0.7510
2,False,30,0.8622,0.7890
2,False,32,0.8454,0.7440
2,False,34,0.7984,0.7320
2,False,36,0.9360,0.8330
2,False,38,0.9228,0.8110
2,False,40,0.9334,0.7970
2,False,42,0.9414,0.8180
2,False,44,0.9656,0.8390
2,False,46,0.9514,0.8000
2,False,48,0.9654,0.8310
2,False,49,0.9584,0.8210
2,True,0,0.4170,0.4110
2,True,2,0.6674,0.6780
2,True,4,0.7622,0.7500
2,True,6,0.7026,0.6530
2,True,8,0.8144,0.7720
2,True,10,0.7826,0.7250
2,True,12,0.7768,0.7210
2,True,14,0.8292,0.7620
2,True,16,0.8074,0.7390
2,True,18,0.8390,0.7670
2,True,20,0.8034,0.7310
2,True,22,0.8430,0.7640
2,True,24,0.8390,0.7720
2,True,26,0.8748,0.8010
2,True,28,0.8596,0.7760
2,True,30,0.8664,0.7820
2,True,32,0.8428,0.7680
2,True,34,0.8554,0.7600
2,True,36,0.9028,0.7930
2,True,38,0.8856,0.7880
2,True,40,0.8924,0.8170
