experience_idx,distillation,epoch,ce,distill
0,False,0,1.5148,0.0000
0,False,2,1.0238,0.0000
0,False,4,0.9571,0.0000
0,False,6,0.7677,0.0000
0,False,8,0.8026,0.0000
0,False,10,0.7104,0.0000
0,False,12,0.5907,0.0000
0,False,14,0.6172,0.0000
0,False,16,0.5795,0.0000
0,False,18,0.4213,0.0000
0,False,20,0.5206,0.0000
0,False,22,0.3894,0.0000
0,False,24,0.3328,0.0000
0,False,26,0.2637,0.0000
0,False,28,0.2297,0.0000
0,False,30,0.3738,0.0000
0,False,32,0.2941,0.0000
0,False,34,0.2321,0.0000
0,False,36,0.1044,0.0000
0,False,38,0.0718,0.0000
0,False,40,0.0676,0.0000
0,False,42,0.1242,0.0000
0,False,44,0.0811,0.0000
0,False,46,0.0730,0.0000
0,False,48,0.0555,0.0000
0,False,49,0.0515,0.0000
0,True,0,2.1101,22.2159
0,True,2,1.5213,15.2997
0,True,4,1.5848,13.1611
0,True,6,1.1953,9.1608
0,True,8,0.8880,7.9192
0,True,10,0.7807,6.3494
0,True,12,0.7971,6.5220
0,True,14,0.8053,6.2005
0,True,16,0.8714,6.6079
0,True,18,0.6928,5.1859
0,True,20,0.7450,5.4381
0,True,22,0.5797,4.4599
0,True,24,0.6027,3.9771
0,True,26,0.5408,4.8172
0,True,28,0.3911,3.2432
0,True,30,0.5088,4.5562
0,True,32,0.5540,3.6751
0,True,34,0.3057,2.4988
0,True,36,0.6705,3.4553
0,True,38,0.3594,3.3572
0,True,40,0.3161,0.0000
0,True,42,0.4712,0.0000
0,True,44,0.5708,0.0000
0,True,46,0.4643,0.0000
0,True,48,0.4192,0.0000
0,True,50,0.4188,0.0000
0,True,52,0.4108,0.0000
0,True,54,0.2682,0.0000
0,True,56,0.3041,0.0000
0,True,58,0.5002,0.0000
0,True,59,0.5360,0.0000
1,False,0,1.8067,0.0000
1,False,2,1.4833,0.0000
1,False,4,1.2907,0.0000
1,False,6,1.0294,0.0000
1,False,8,0.9455,0.0000
1,False,10,0.8174,0.0000
1,False,12,0.8242,0.0000
1,False,14,0.9208,0.0000
1,False,16,0.7018,0.0000
1,False,18,0.6991,0.0000
1,False,20,0.6585,0.0000
1,False,22,0.5120,0.0000
1,False,24,0.5333,0.0000
1,False,26,0.5368,0.0000
1,False,28,0.3937,0.0000
1,False,30,0.5221,0.0000
1,False,32,0.3688,0.0000
1,False,34,0.3909,0.0000
1,False,36,0.2713,0.0000
1,False,38,0.2017,0.0000
1,False,40,0.2987,0.0000
1,False,42,0.1797,0.0000
1,False,44,0.2885,0.0000
1,False,46,0.1963,0.0000
1,False,48,0.1782,0.0000
1,False,49,0.1533,0.0000
1,True,0,1.5213,12.8069
1,True,2,0.9007,6.6606
1,True,4,0.7874,5.9010
1,True,6,1.1648,7.6480
1,True,8,1.0640,5.5950
1,True,10,0.9228,4.6044
1,True,12,0.6669,3.5998
1,True,14,0.8527,5.1154
1,True,16,0.5421,3.4123
1,True,18,0.5416,3.7591
1,True,20,0.5376,2.9884
1,True,22,0.4861,2.7167
1,True,24,0.5438,3.0747
1,True,26,0.5930,3.7716
1,True,28,0.5939,3.4856
1,True,30,0.6153,3.5712
1,True,32,0.5907,3.5628
1,True,34,0.3701,2.1824
1,True,36,0.3562,2.0288
1,True,38,0.3860,2.1868
1,True,40,0.5676,0.0000
1,True,42,0.6511,0.0000
1,True,44,0.4013,0.0000
1,True,46,0.3719,0.0000
1,True,48,0.4962,0.0000
1,True,50,0.4720,0.0000
1,True,52,0.5476,0.0000
1,True,54,0.4703,0.0000
1,True,56,0.5479,0.0000
1,True,58,0.3618,0.0000
1,True,59,0.5142,0.0000
2,False,0,1.6417,0.0000
2,False,2,1.3821,0.0000
2,False,4,1.1579,0.0000
2,False,6,1.0353,0.0000
2,False,8,0.9327,0.0000
2,False,10,0.6434,0.0000
2,False,12,0.7110,0.0000
2,False,14,0.8663,0.0000
2,False,16,0.6733,0.0000
2,False,18,0.4593,0.0000
2,False,20,0.8618,0.0000
2,False,22,0.5904,0.0000
2,False,24,0.4198,0.0000
2,False,26,0.4322,0.0000
2,False,28,0.5918,0.0000
2,False,30,0.3419,0.0000
2,False,32,0.2588,0.0000
2,False,34,0.2631,0.0000
2,False,36,0.1258,0.0000
2,False,38,0.1496,0.0000
2,False,40,0.1683,0.0000
2,False,42,0.2306,0.0000
2,False,44,0.1412,0.0000
2,False,46,0.1695,0.0000
2,False,48,0.1629,0.0000
2,False,49,0.1691,0.0000
2,True,0,1.2382,10.5349
2,True,2,1.1107,7.4352
2,True,4,0.7372,5.9257
2,True,6,0.6620,4.3454
2,True,8,0.6127,4.1701
2,True,10,0.4427,3.1779
2,True,12,0.4092,2.8996
2,True,14,0.6580,4.2858
2,True,16,0.4271,3.1052
2,True,18,0.4379,2.6259
2,True,20,0.4532,2.9976
2,True,22,0.3268,2.8886
2,True,24,0.4376,2.7731
2,True,26,0.3329,2.1691
2,True,28,0.3504,2.4699
2,True,30,0.3494,2.0982
2,True,32,0.2194,2.0053
2,True,34,0.2553,1.9455
2,True,36,0.2132,1.8299
2,True,38,0.2690,2.5263
2,True,40,0.1208,0.0000
2,True,42,0.4913,0.0000
2,True,44,0.3655,0.0000
2,True,46,0.2610,0.0000
2,True,48,0.3664,0.0000
2,True,50,0.3900,0.0000
2,True,52,0.3304,0.0000
2,True,54,0.3897,0.0000
2,True,56,0.1573,0.0000
2,True,58,0.4304,0.0000
2,True,59,0.2502,0.0000
3,False,0,2.1418,0.0000
3,False,2,1.4910,0.0000
3,False,4,1.3314,0.0000
3,False,6,1.4096,0.0000
3,False,8,1.1289,0.0000
3,False,10,1.0200,0.0000
3,False,12,0.9244,0.0000
3,False,14,0.7979,0.0000
3,False,16,0.8790,0.0000
3,False,18,0.9117,0.0000
3,False,20,0.5976,0.0000
3,False,22,0.5350,0.0000
3,False,24,0.4314,0.0000
3,False,26,0.5555,0.0000
3,False,28,0.7175,0.0000
3,False,30,0.4408,0.0000
3,False,32,0.5566,0.0000
3,False,34,0.3971,0.0000
3,False,36,0.2499,0.0000
3,False,38,0.1719,0.0000
3,False,40,0.1703,0.0000
3,False,42,0.2097,0.0000
3,False,44,0.1498,0.0000
3,False,46,0.0974,0.0000
3,False,48,0.1863,0.0000
3,False,49,0.2181,0.0000
3,True,0,1.6781,10.8543
3,True,2,0.7861,5.8480
3,True,4,0.9287,5.7901
3,True,6,0.5888,4.3549
3,True,8,0.8129,5.1156
3,True,10,0.4521,3.0495
3,True,12,0.6155,3.9981
3,True,14,0.5663,3.3320
3,True,16,0.4700,3.4605
3,True,18,0.7194,4.3561
3,True,20,0.4175,2.5024
3,True,22,0.4374,2.8662
3,True,24,0.3477,2.3355
3,True,26,0.4628,2.5181
3,True,28,0.2525,2.2293
3,True,30,0.2855,2.0265
3,True,32,0.2294,1.6889
3,True,34,0.4415,2.6144
3,True,36,0.2224,1.4665
3,True,38,0.2586,1.9573
3,True,40,0.4995,0.0000
3,True,42,0.6407,0.0000
3,True,44,0.4122,0.0000
3,True,46,0.4941,0.0000
3,True,48,0.3617,0.0000
3,True,50,0.4588,0.0000
3,True,52,0.3850,0.0000
3,True,54,0.3129,0.0000
3,True,56,0.3061,0.0000
3,True,58,0.3324,0.0000
3,True,59,0.3594,0.0000
4,False,0,1.8593,0.0000
4,False,2,1.3311,0.0000
4,False,4,1.1876,0.0000
4,False,6,1.3431,0.0000
4,False,8,0.8879,0.0000
4,False,10,1.1970,0.0000
4,False,12,0.7097,0.0000
4,False,14,0.8098,0.0000
4,False,16,0.8617,0.0000
4,False,18,0.6775,0.0000
4,False,20,0.5447,0.0000
4,False,22,0.5634,0.0000
4,False,24,0.5571,0.0000
4,False,26,0.3091,0.0000
4,False,28,0.4570,0.0000
4,False,30,0.4144,0.0000
4,False,32,0.3387,0.0000
4,False,34,0.3607,0.0000
4,False,36,0.1670,0.0000
4,False,38,0.2038,0.0000
4,False,40,0.2444,0.0000
4,False,42,0.2487,0.0000
4,False,44,0.2081,0.0000
4,False,46,0.1817,0.0000
4,False,48,0.1586,0.0000
4,False,49,0.1928,0.0000
4,True,0,1.0239,7.6374
4,True,2,0.7259,4.6119
4,True,4,0.6813,3.4278
4,True,6,0.7087,3.4834
4,True,8,0.6374,2.9642
4,True,10,0.5862,2.4022
4,True,12,0.5526,2.7187
4,True,14,0.3621,2.3709
4,True,16,0.4623,2.6690
4,True,18,0.2605,2.0366
4,True,20,0.3395,2.5425
4,True,22,0.2776,1.6171
4,True,24,0.3486,2.2299
4,True,26,0.4088,1.7635
4,True,28,0.2503,1.8248
4,True,30,0.3536,2.1268
4,True,32,0.3454,1.4608
4,True,34,0.1889,1.5602
4,True,36,0.1490,1.2460
4,True,38,0.3847,1.6050
4,True,40,0.2100,0.0000
4,True,42,0.3455,0.0000
4,True,44,0.4204,0.0000
4,True,46,0.3968,0.0000
4,True,48,0.2515,0.0000
4,True,50,0.2467,0.0000
4,True,52,0.3315,0.0000
4,True,54,0.1962,0.0000
4,True,56,0.2931,0.0000
4,True,58,0.1881,0.0000
4,True,59,0.1984,0.0000
5,False,0,1.9091,0.0000
5,False,2,1.6563,0.0000
5,False,4,1.4951,0.0000
5,False,6,1.4599,0.0000
5,False,8,1.2859,0.0000
5,False,10,1.3671,0.0000
5,False,12,1.1745,0.0000
5,False,14,1.0933,0.0000
5,False,16,0.9856,0.0000
5,False,18,0.9445,0.0000
5,False,20,0.7424,0.0000
5,False,22,1.0383,0.0000
5,False,24,0.9404,0.0000
5,False,26,0.7693,0.0000
5,False,28,0.6496,0.0000
5,False,30,0.6891,0.0000
5,False,32,0.7583,0.0000
5,False,34,0.5991,0.0000
5,False,36,0.4714,0.0000
5,False,38,0.4362,0.0000
5,False,40,0.5012,0.0000
5,False,42,0.2884,0.0000
5,False,44,0.4192,0.0000
5,False,46,0.4152,0.0000
5,False,48,0.4431,0.0000
5,False,49,0.4233,0.0000
5,True,0,1.4196,6.6234
5,True,2,1.0329,3.3981
5,True,4,0.6467,2.7126
5,True,6,0.5966,2.1058
5,True,8,0.8205,3.2538
5,True,10,0.6606,2.0878
5,True,12,0.6234,1.8738
5,True,14,0.7488,1.9934
5,True,16,0.6102,1.8804
5,True,18,0.5776,1.7152
5,True,20,0.5165,1.5209
5,True,22,0.6629,1.7190
5,True,24,0.4444,1.7583
5,True,26,0.5950,1.3662
5,True,28,0.4267,1.3247
5,True,30,0.3904,1.1716
5,True,32,0.4417,1.6079
5,True,34,0.5240,1.5049
5,True,36,0.5381,1.3701
5,True,38,0.6004,1.8910
5,True,40,0.9924,0.0000
5,True,42,0.6606,0.0000
5,True,44,0.7673,0.0000
5,True,46,0.6960,0.0000
5,True,48,0.5970,0.0000
5,True,50,0.6804,0.0000
5,True,52,0.6014,0.0000
5,True,54,0.6248,0.0000
5,True,56,0.4266,0.0000
5,True,58,0.5141,0.0000
5,True,59,0.6376,0.0000
6,False,0,2.0954,0.0000
6,False,2,1.7204,0.0000
6,False,4,1.5427,0.0000
6,False,6,1.3467,0.0000
6,False,8,1.1908,0.0000
6,False,10,1.2643,0.0000
6,False,12,1.1049,0.0000
6,False,14,1.0652,0.0000
6,False,16,1.0639,0.0000
6,False,18,0.9901,0.0000
6,False,20,0.9436,0.0000
6,False,22,0.6742,0.0000
6,False,24,0.7715,0.0000
6,False,26,0.5738,0.0000
6,False,28,0.5324,0.0000
6,False,30,0.5187,0.0000
6,False,32,0.4840,0.0000
6,False,34,0.4656,0.0000
6,False,36,0.2865,0.0000
6,False,38,0.3934,0.0000
6,False,40,0.3013,0.0000
6,False,42,0.3365,0.0000
6,False,44,0.2932,0.0000
6,False,46,0.3401,0.0000
6,False,48,0.2159,0.0000
6,False,49,0.2745,0.0000
6,True,0,1.4639,9.2888
6,True,2,0.8621,4.9562
6,True,4,0.5113,3.1139
6,True,6,0.6423,3.7074
6,True,8,0.4813,2.5348
6,True,10,0.5685,2.3999
6,True,12,0.6382,3.2556
6,True,14,0.5408,2.3716
6,True,16,0.4800,2.6347
6,True,18,0.3201,2.0509
6,True,20,0.4075,1.9342
6,True,22,0.4944,2.3232
6,True,24,0.3761,2.2126
6,True,26,0.3405,1.8067
6,True,28,0.3202,1.9033
6,True,30,0.3449,2.0303
6,True,32,0.4288,1.9015
6,True,34,0.2845,1.5544
6,True,36,0.2799,1.7389
6,True,38,0.3131,1.7541
6,True,40,0.3163,0.0000
6,True,42,0.4476,0.0000
6,True,44,0.5050,0.0000
6,True,46,0.3932,0.0000
6,True,48,0.3046,0.0000
6,True,50,0.3379,0.0000
6,True,52,0.3778,0.0000
6,True,54,0.2387,0.0000
6,True,56,0.2502,0.0000
6,True,58,0.3480,0.0000
6,True,59,0.4170,0.0000
7,False,0,1.6176,0.0000
7,False,2,1.1858,0.0000
7,False,4,0.9269,0.0000
7,False,6,0.7860,0.0000
7,False,8,0.7978,0.0000
7,False,10,0.8622,0.0000
7,False,12,0.5826,0.0000
7,False,14,0.5613,0.0000
7,False,16,0.6530,0.0000
7,False,18,0.5707,0.0000
7,False,20,0.4770,0.0000
7,False,22,0.3745,0.0000
7,False,24,0.5787,0.0000
7,False,26,0.4048,0.0000
7,False,28,0.2882,0.0000
7,False,30,0.3509,0.0000
7,False,32,0.4100,0.0000
7,False,34,0.1904,0.0000
7,False,36,0.2597,0.0000
7,False,38,0.1092,0.0000
7,False,40,0.1708,0.0000
7,False,42,0.0799,0.0000
7,False,44,0.1921,0.0000
7,False,46,0.1296,0.0000
7,False,48,0.0547,0.0000
7,False,49,0.0914,0.0000
7,True,0,1.0268,8.0059
7,True,2,0.6128,4.0128
7,True,4,0.4897,3.6116
7,True,6,0.3724,2.8907
7,True,8,0.4390,2.9581
7,True,10,0.2774,1.9571
7,True,12,0.2046,1.4309
7,True,14,0.2211,1.8966
7,True,16,0.2471,1.9655
7,True,18,0.3024,1.9296
7,True,20,0.1999,1.6931
7,True,22,0.2397,1.4286
7,True,24,0.1779,1.3600
7,True,26,0.3032,1.6139
7,True,28,0.4516,1.6867
7,True,30,0.1136,0.9742
7,True,32,0.1681,1.1583
7,True,34,0.1688,0.9861
7,True,36,0.1592,1.2282
7,True,38,0.3044,1.3585
7,True,40,0.1892,0.0000
7,True,42,0.2066,0.0000
7,True,44,0.2368,0.0000
7,True,46,0.2185,0.0000
7,True,48,0.3429,0.0000
7,True,50,0.1319,0.0000
7,True,52,0.1978,0.0000
7,True,54,0.1282,0.0000
7,True,56,0.2631,0.0000
7,True,58,0.1335,0.0000
7,True,59,0.2752,0.0000
8,False,0,1.8960,0.0000
8,False,2,1.7015,0.0000
8,False,4,1.5118,0.0000
8,False,6,1.3804,0.0000
8,False,8,1.0845,0.0000
8,False,10,1.0668,0.0000
8,False,12,1.0503,0.0000
8,False,14,0.8576,0.0000
8,False,16,0.6396,0.0000
8,False,18,0.8978,0.0000
8,False,20,0.8439,0.0000
8,False,22,0.6714,0.0000
8,False,24,0.5784,0.0000
8,False,26,0.6247,0.0000
8,False,28,0.6207,0.0000
8,False,30,0.4791,0.0000
8,False,32,0.4669,0.0000
8,False,34,0.4437,0.0000
8,False,36,0.3014,0.0000
8,False,38,0.1300,0.0000
8,False,40,0.2532,0.0000
8,False,42,0.2148,0.0000
8,False,44,0.1794,0.0000
8,False,46,0.2363,0.0000
8,False,48,0.1520,0.0000
8,False,49,0.2033,0.0000
8,True,0,1.6667,10.1421
8,True,2,0.8916,5.9499
8,True,4,0.9728,5.8201
8,True,6,0.7812,4.3304
8,True,8,0.6285,4.0286
8,True,10,0.6113,3.7250
8,True,12,0.4491,3.1267
8,True,14,0.6254,3.8055
8,True,16,0.4405,3.0637
8,True,18,0.5177,2.7638
8,True,20,0.6181,3.0561
8,True,22,0.5573,3.2551
8,True,24,0.4708,3.2268
8,True,26,0.3245,2.3638
8,True,28,0.3187,2.0774
8,True,30,0.3968,2.6788
8,True,32,0.4511,2.4252
8,True,34,0.2950,1.7155
8,True,36,0.4009,3.0032
8,True,38,0.4317,2.4089
8,True,40,0.3690,0.0000
8,True,42,0.5101,0.0000
8,True,44,0.4770,0.0000
8,True,46,0.3598,0.0000
8,True,48,0.3532,0.0000
8,True,50,0.4249,0.0000
8,True,52,0.4479,0.0000
8,True,54,0.3286,0.0000
8,True,56,0.4349,0.0000
8,True,58,0.2674,0.0000
8,True,59,0.4451,0.0000
9,False,0,1.5226,0.0000
9,False,2,1.2667,0.0000
9,False,4,1.0900,0.0000
9,False,6,1.1078,0.0000
9,False,8,1.1900,0.0000
9,False,10,0.8755,0.0000
9,False,12,0.8198,0.0000
9,False,14,0.7499,0.0000
9,False,16,0.4930,0.0000
9,False,18,0.6544,0.0000
9,False,20,0.4866,0.0000
9,False,22,0.4261,0.0000
9,False,24,0.6679,0.0000
9,False,26,0.4457,0.0000
9,False,28,0.3040,0.0000
9,False,30,0.4613,0.0000
9,False,32,0.2958,0.0000
9,False,34,0.3004,0.0000
9,False,36,0.4135,0.0000
9,False,38,0.4884,0.0000
9,False,40,0.2851,0.0000
9,False,42,0.1752,0.0000
9,False,44,0.2365,0.0000
9,False,46,0.1926,0.0000
9,False,48,0.1864,0.0000
9,False,49,0.2908,0.0000
9,True,0,1.0203,6.8717
9,True,2,0.7791,4.9591
9,True,4,0.4887,3.3488
9,True,6,0.4004,2.8291
9,True,8,0.5097,2.6463
9,True,10,0.4237,2.6593
9,True,12,0.5959,2.9647
9,True,14,0.4035,2.1021
9,True,16,0.2813,1.9911
9,True,18,0.3050,1.7984
9,True,20,0.2198,1.5700
9,True,22,0.2213,1.5159
9,True,24,0.2918,1.6388
9,True,26,0.3093,1.7102
9,True,28,0.4165,2.1079
9,True,30,0.3258,1.9442
9,True,32,0.2338,1.4766
9,True,34,0.2815,1.5118
9,True,36,0.3108,1.6261
9,True,38,0.2085,1.3843
9,True,40,0.2057,0.0000
9,True,42,0.3440,0.0000
9,True,44,0.3591,0.0000
9,True,46,0.2504,0.0000
9,True,48,0.2469,0.0000
9,True,50,0.2997,0.0000
9,True,52,0.3260,0.0000
9,True,54,0.3643,0.0000
9,True,56,0.2193,0.0000
9,True,58,0.3108,0.0000
9,True,59,0.2503,0.0000
