experience_idx,acc
0,0.8920
0,0.8920
0,0.8920
1,0.6885
1,0.6960
1,0.7015
2,0.6227
2,0.6270
2,0.6293
3,0.5650
3,0.5727
3,0.5742
4,0.5428
4,0.5514
4,0.5538
5,0.4833
5,0.4908
5,0.4915
6,0.4506
6,0.4574
6,0.4589
7,0.4457
7,0.4515
7,0.4523
8,0.4244
8,0.4313
8,0.4320
9,0.4108
9,0.4177
9,0.4185
