experience_idx,acc
0,0.7530
0,0.7530
0,0.7530
1,0.6510
1,0.6580
1,0.6605
2,0.5940
2,0.5900
2,0.5883
3,0.5393
3,0.5345
3,0.5345
4,0.5066
4,0.5028
4,0.5014
5,0.4725
5,0.4705
5,0.4705
6,0.4476
6,0.4464
6,0.4464
7,0.4315
7,0.4325
7,0.4340
8,0.4121
8,0.4154
8,0.4167
9,0.3984
9,0.4042
9,0.4049
