experience_idx,distillation,epoch,acc_train,acc_test
0,False,0,0.1368,0.2000
0,False,2,0.4760,0.4930
0,False,4,0.5452,0.5710
0,False,6,0.5220,0.5890
0,False,8,0.5846,0.6160
0,False,10,0.6074,0.6070
0,False,12,0.6248,0.6090
0,False,14,0.6986,0.6690
0,False,16,0.6524,0.6440
0,False,18,0.6938,0.6750
0,False,20,0.7390,0.7290
0,False,22,0.7264,0.6930
0,False,24,0.6878,0.6630
0,False,26,0.7452,0.6690
0,False,28,0.7154,0.6510
0,False,30,0.7690,0.7130
0,False,32,0.7674,0.7130
0,False,34,0.7348,0.7060
0,False,36,0.8586,0.7520
0,False,38,0.8200,0.7020
0,False,40,0.8674,0.7540
0,False,42,0.8154,0.7380
0,False,44,0.8584,0.7570
0,False,46,0.8682,0.7770
0,False,48,0.8684,0.7470
0,False,49,0.8572,0.7240
0,True,0,0.1668,0.1590
0,True,2,0.2262,0.2340
0,True,4,0.4648,0.4530
0,True,6,0.4548,0.4460
0,True,8,0.5644,0.5750
0,True,10,0.5082,0.5240
0,True,12,0.6322,0.6000
0,True,14,0.6044,0.6000
0,True,16,0.5638,0.5620
0,True,18,0.5764,0.5360
0,True,20,0.6680,0.6450
0,True,22,0.6766,0.6500
0,True,24,0.6306,0.5900
0,True,26,0.7040,0.6630
0,True,28,0.7036,0.6510
0,True,30,0.6936,0.6660
0,True,32,0.7012,0.6720
0,True,34,0.6740,0.6100
0,True,36,0.7320,0.6880
0,True,38,0.7464,0.7120
0,True,40,0.7494,0.7270
0,True,42,0.7950,0.7480
0,True,44,0.8068,0.7480
0,True,46,0.8152,0.7580
0,True,48,0.8178,0.7550
0,True,50,0.8200,0.7610
0,True,52,0.8184,0.7590
0,True,54,0.8264,0.7450
0,True,56,0.8254,0.7520
0,True,58,0.8286,0.7690
0,True,59,0.8240,0.7530
1,False,0,0.1440,0.1390
1,False,2,0.3530,0.3790
1,False,4,0.4332,0.4410
1,False,6,0.4500,0.4490
1,False,8,0.5924,0.5870
