experience_idx,acc
0,0.8500
0,0.8500
0,0.8500
1,0.7125
1,0.7050
1,0.7065
2,0.6397
2,0.6387
2,0.6387
3,0.5633
3,0.5663
3,0.5667
4,0.5190
4,0.5236
4,0.5236
5,0.4818
5,0.4855
5,0.4857
6,0.4699
6,0.4744
6,0.4743
7,0.4480
7,0.4526
7,0.4532
8,0.4348
8,0.4387
8,0.4370
9,0.4156
9,0.4200
9,0.4169
