experience_idx,distillation,epoch,ce,distill
0,False,0,1.7902,0.0000
0,False,2,1.2085,0.0000
0,False,4,0.9849,0.0000
0,False,6,0.9644,0.0000
0,False,8,0.9757,0.0000
0,False,10,0.8667,0.0000
0,False,12,0.8524,0.0000
0,False,14,0.7199,0.0000
0,False,16,0.6841,0.0000
0,False,18,0.7508,0.0000
0,False,20,0.5099,0.0000
0,False,22,0.4900,0.0000
0,False,24,0.6037,0.0000
0,False,26,0.5802,0.0000
0,False,28,0.5070,0.0000
0,False,30,0.5242,0.0000
0,False,32,0.2561,0.0000
0,False,34,0.4001,0.0000
0,False,36,0.2316,0.0000
0,False,38,0.2336,0.0000
0,False,40,0.2380,0.0000
0,False,42,0.1388,0.0000
0,False,44,0.2279,0.0000
0,False,46,0.2156,0.0000
0,False,48,0.1468,0.0000
0,False,49,0.1719,0.0000
0,True,0,1.9923,17.2841
0,True,2,1.6738,13.8898
0,True,4,1.2591,10.8525
0,True,6,1.4469,9.7072
0,True,8,1.2679,8.4082
0,True,10,0.9872,6.5750
0,True,12,0.9059,5.5486
0,True,14,0.9519,4.7028
0,True,16,0.7628,4.6219
0,True,18,0.7382,4.3919
0,True,20,0.8042,4.2538
0,True,22,0.5755,3.3301
0,True,24,0.6743,3.3312
0,True,26,0.5998,2.6312
0,True,28,0.4970,3.0850
0,True,30,0.6226,2.6332
0,True,32,0.5873,2.6753
0,True,34,0.5326,3.4674
0,True,36,0.4329,2.5913
0,True,38,0.5225,2.6705
0,True,40,0.5497,0.0000
0,True,42,0.6293,0.0000
0,True,44,0.5645,0.0000
0,True,46,0.5494,0.0000
0,True,48,0.5336,0.0000
0,True,50,0.7500,0.0000
0,True,52,0.8278,0.0000
0,True,54,0.5519,0.0000
0,True,56,0.4477,0.0000
0,True,58,0.7527,0.0000
0,True,59,0.5010,0.0000
1,False,0,1.7649,0.0000
1,False,2,1.3782,0.0000
1,False,4,1.0554,0.0000
1,False,6,0.9827,0.0000
1,False,8,0.7302,0.0000
1,False,10,0.6528,0.0000
1,False,12,0.6611,0.0000
1,False,14,0.6601,0.0000
1,False,16,0.6313,0.0000
1,False,18,0.5153,0.0000
1,False,20,0.5751,0.0000
1,False,22,0.5425,0.0000
1,False,24,0.3922,0.0000
1,False,26,0.2784,0.0000
1,False,28,0.4730,0.0000
1,False,30,0.3871,0.0000
1,False,32,0.3005,0.0000
1,False,34,0.3150,0.0000
1,False,36,0.3064,0.0000
1,False,38,0.3008,0.0000
1,False,40,0.1632,0.0000
1,False,42,0.1759,0.0000
1,False,44,0.2187,0.0000
1,False,46,0.1946,0.0000
1,False,48,0.2422,0.0000
1,False,49,0.1499,0.0000
1,True,0,1.1115,8.6796
1,True,2,0.8292,6.3289
1,True,4,0.5650,3.8318
1,True,6,0.7004,4.4135
1,True,8,0.6098,3.5058
1,True,10,0.6794,3.2938
1,True,12,0.4184,2.3826
1,True,14,0.4184,2.9858
1,True,16,0.5541,2.9834
1,True,18,0.4707,2.4033
1,True,20,0.5033,2.3531
1,True,22,0.3632,2.6669
1,True,24,0.4911,2.7981
1,True,26,0.4504,2.9846
1,True,28,0.4237,2.5181
1,True,30,0.2809,1.8229
1,True,32,0.2458,1.4498
1,True,34,0.4122,1.9333
1,True,36,0.4532,2.2500
1,True,38,0.2713,1.9325
1,True,40,0.4537,0.0000
1,True,42,0.4164,0.0000
1,True,44,0.5462,0.0000
1,True,46,0.4484,0.0000
1,True,48,0.3345,0.0000
1,True,50,0.3412,0.0000
1,True,52,0.4837,0.0000
1,True,54,0.3428,0.0000
1,True,56,0.1861,0.0000
1,True,58,0.2508,0.0000
1,True,59,0.2983,0.0000
2,False,0,1.8516,0.0000
2,False,2,1.3464,0.0000
2,False,4,1.0095,0.0000
2,False,6,1.0658,0.0000
2,False,8,1.0089,0.0000
2,False,10,0.8091,0.0000
2,False,12,0.7461,0.0000
2,False,14,0.7924,0.0000
2,False,16,0.6539,0.0000
2,False,18,0.7237,0.0000
2,False,20,0.7200,0.0000
2,False,22,0.5764,0.0000
2,False,24,0.6363,0.0000
2,False,26,0.6634,0.0000
2,False,28,0.5866,0.0000
2,False,30,0.4759,0.0000
2,False,32,0.4296,0.0000
2,False,34,0.5062,0.0000
2,False,36,0.2994,0.0000
2,False,38,0.3336,0.0000
2,False,40,0.2841,0.0000
2,False,42,0.2107,0.0000
2,False,44,0.2684,0.0000
2,False,46,0.2039,0.0000
2,False,48,0.2828,0.0000
2,False,49,0.2618,0.0000
2,True,0,1.3032,9.7477
2,True,2,1.0421,6.0434
2,True,4,0.8197,4.3052
2,True,6,0.6467,3.7795
2,True,8,0.6770,3.1841
2,True,10,0.5989,2.9576
2,True,12,0.6264,2.9758
2,True,14,0.4879,3.0989
2,True,16,0.5054,2.3478
2,True,18,0.6964,2.4627
2,True,20,0.6550,2.9195
2,True,22,0.4500,2.5430
2,True,24,0.5075,2.7570
2,True,26,0.4887,2.1399
2,True,28,0.5282,2.4773
2,True,30,0.3779,2.2931
2,True,32,0.4152,2.0209
2,True,34,0.3709,1.6651
2,True,36,0.3618,1.6437
2,True,38,0.5237,2.3262
2,True,40,0.6057,0.0000
2,True,42,0.5428,0.0000
2,True,44,0.5088,0.0000
2,True,46,0.4607,0.0000
2,True,48,0.4991,0.0000
2,True,50,0.5969,0.0000
2,True,52,0.3058,0.0000
2,True,54,0.4831,0.0000
2,True,56,0.4010,0.0000
2,True,58,0.4742,0.0000
2,True,59,0.3121,0.0000
3,False,0,1.7683,0.0000
3,False,2,1.3264,0.0000
3,False,4,1.3983,0.0000
3,False,6,1.1731,0.0000
3,False,8,0.8881,0.0000
3,False,10,0.8468,0.0000
3,False,12,0.7772,0.0000
3,False,14,0.6394,0.0000
3,False,16,0.7262,0.0000
3,False,18,0.5960,0.0000
3,False,20,0.4118,0.0000
3,False,22,0.4974,0.0000
3,False,24,0.3900,0.0000
3,False,26,0.3473,0.0000
3,False,28,0.4573,0.0000
3,False,30,0.4100,0.0000
3,False,32,0.2678,0.0000
