experience_idx,distillation,epoch,acc_train,acc_test
0,False,0,0.2190,0.2030
0,False,2,0.5268,0.5390
0,False,4,0.6048,0.6190
0,False,6,0.5968,0.6160
0,False,8,0.6592,0.6710
0,False,10,0.6124,0.6140
0,False,12,0.6960,0.6990
0,False,14,0.7590,0.7690
0,False,16,0.6810,0.6680
0,False,18,0.7626,0.7480
0,False,20,0.7652,0.7420
0,False,22,0.7268,0.7090
0,False,24,0.8158,0.8040
0,False,26,0.7616,0.7110
0,False,28,0.7448,0.6870
0,False,30,0.7712,0.7470
0,False,32,0.8446,0.7830
0,False,34,0.8358,0.7690
0,False,36,0.8966,0.8250
0,False,38,0.9018,0.8190
0,False,40,0.9196,0.8330
0,False,42,0.9170,0.8090
0,False,44,0.9356,0.8260
0,False,46,0.9160,0.8000
0,False,48,0.9382,0.8200
0,False,49,0.9360,0.8260
0,True,0,0.2232,0.2320
0,True,2,0.4578,0.4570
0,True,4,0.4822,0.4910
0,True,6,0.5942,0.5890
0,True,8,0.5968,0.5880
0,True,10,0.6840,0.6960
0,True,12,0.7236,0.7250
0,True,14,0.6694,0.6630
0,True,16,0.6926,0.7130
0,True,18,0.6752,0.6740
0,True,20,0.7660,0.7420
0,True,22,0.7744,0.7580
0,True,24,0.7312,0.7210
0,True,26,0.7876,0.7660
0,True,28,0.7370,0.7070
0,True,30,0.7786,0.7560
0,True,32,0.7774,0.7370
0,True,34,0.7958,0.7530
0,True,36,0.6988,0.7290
0,True,38,0.7874,0.7640
0,True,40,0.8120,0.7740
0,True,42,0.8826,0.8310
0,True,44,0.8922,0.8390
0,True,46,0.8990,0.8360
0,True,48,0.8968,0.8360
0,True,50,0.9076,0.8370
0,True,52,0.9010,0.8320
0,True,54,0.9068,0.8380
0,True,56,0.9104,0.8430
0,True,58,0.9150,0.8390
0,True,59,0.9154,0.8430
1,False,0,0.1526,0.1670
1,False,2,0.5018,0.5460
1,False,4,0.5408,0.5410
1,False,6,0.6936,0.6880
1,False,8,0.7116,0.6910
1,False,10,0.7540,0.7420
1,False,12,0.7826,0.7580
1,False,14,0.7968,0.7700
1,False,16,0.7826,0.7390
