experience_idx,acc
0,0.8430
0,0.8430
0,0.8430
1,0.6980
1,0.6950
1,0.6925
2,0.5997
2,0.6030
2,0.6020
3,0.5710
3,0.5770
3,0.5748
4,0.5416
4,0.5486
4,0.5458
5,0.4948
5,0.4970
5,0.4940
6,0.4679
6,0.4714
6,0.4683
7,0.4499
7,0.4536
7,0.4525
8,0.4313
8,0.4360
8,0.4354
9,0.4004
9,0.4037
9,0.4029
