experience_idx,acc_taw
0,0.8350
0,0.8350
0,0.8350
1,0.8405
1,0.8405
1,0.8405
2,0.8360
2,0.8360
2,0.8360
3,0.8505
3,0.8505
3,0.8505
4,0.8322
4,0.8322
4,0.8322
5,0.8392
5,0.8392
5,0.8392
6,0.8326
6,0.8326
6,0.8326
7,0.8321
7,0.8321
7,0.8321
8,0.8349
8,0.8349
8,0.8349
9,0.8379
9,0.8379
9,0.8379
