experience_idx,distillation,epoch,acc_train,acc_test
0,False,0,0.2094,0.2140
0,False,2,0.4088,0.4260
0,False,4,0.5812,0.5480
0,False,6,0.5318,0.5060
0,False,8,0.6820,0.6650
0,False,10,0.7106,0.7070
0,False,12,0.6718,0.6230
0,False,14,0.6450,0.6230
0,False,16,0.7678,0.7430
0,False,18,0.7686,0.7340
0,False,20,0.7798,0.7540
0,False,22,0.8232,0.7660
0,False,24,0.6704,0.6710
0,False,26,0.7842,0.7310
0,False,28,0.8402,0.7700
0,False,30,0.8094,0.7530
0,False,32,0.8350,0.7570
0,False,34,0.8602,0.7680
0,False,36,0.9192,0.8310
0,False,38,0.9092,0.8010
0,False,40,0.8968,0.7970
0,False,42,0.9114,0.8030
0,False,44,0.9276,0.8040
0,False,46,0.8856,0.7990
0,False,48,0.9102,0.7860
0,False,49,0.9076,0.7900
0,True,0,0.1278,0.1210
0,True,2,0.3248,0.3150
0,True,4,0.4028,0.4110
0,True,6,0.5654,0.5620
0,True,8,0.5934,0.5800
0,True,10,0.6442,0.6520
0,True,12,0.6626,0.6750
0,True,14,0.6784,0.6500
0,True,16,0.6444,0.6010
0,True,18,0.5948,0.5780
0,True,20,0.7860,0.7550
0,True,22,0.7342,0.7010
0,True,24,0.7598,0.7210
0,True,26,0.7170,0.6760
0,True,28,0.8092,0.7660
0,True,30,0.6664,0.6270
0,True,32,0.8170,0.7450
0,True,34,0.7570,0.7160
0,True,36,0.7654,0.7470
0,True,38,0.8408,0.7700
0,True,40,0.8180,0.7890
0,True,42,0.8872,0.8230
0,True,44,0.9048,0.8290
0,True,46,0.9010,0.8230
0,True,48,0.9074,0.8290
0,True,50,0.9132,0.8340
0,True,52,0.9008,0.8200
0,True,54,0.9112,0.8350
0,True,56,0.9162,0.8270
0,True,58,0.9174,0.8390
0,True,59,0.9116,0.8350
1,False,0,0.1280,0.1730
1,False,2,0.3896,0.4120
1,False,4,0.4904,0.5260
1,False,6,0.5600,0.5710
1,False,8,0.5000,0.5780
1,False,10,0.6166,0.5970
1,False,12,0.6698,0.6750
1,False,14,0.5936,0.5810
1,False,16,0.7292,0.6750
1,False,18,0.6958,0.6880
1,False,20,0.7906,0.7270
1,False,22,0.8286,0.7650
1,False,24,0.8352,0.7620
1,False,26,0.7414,0.7090
1,False,28,0.7344,0.6740
1,False,30,0.7034,0.6670
1,False,32,0.8778,0.7800
1,False,34,0.8948,0.8090
1,False,36,0.9334,0.8300
1,False,38,0.9460,0.8290
1,False,40,0.9514,0.8220
