experience_idx,acc
0,0.8350
0,0.8350
0,0.8350
1,0.7190
1,0.7195
1,0.7205
2,0.6257
2,0.6283
2,0.6290
3,0.5915
3,0.5943
3,0.5930
4,0.5448
4,0.5470
4,0.5462
5,0.5103
5,0.5153
5,0.5137
6,0.4744
6,0.4814
6,0.4807
7,0.4431
7,0.4511
7,0.4506
8,0.4237
8,0.4304
8,0.4311
9,0.4013
9,0.4061
9,0.4072
